survived,pclass,sex,age,sibsp,parch,ticket,fare,cabin,embarked
0.0,3.0,male,,0.0,0.0,SOTON/OQ 392086,8.05,,S
0.0,1.0,male,22.0,0.0,0.0,PC 17760,135.6333,,C
0.0,2.0,male,23.0,0.0,0.0,SC/PARIS 2133,15.0458,,C
0.0,2.0,male,42.0,0.0,0.0,211535,13.0,,S
0.0,3.0,male,20.0,0.0,0.0,7534,9.8458,,S
0.0,3.0,male,21.0,0.0,0.0,350410,7.8542,,S
1.0,2.0,female,36.0,1.0,0.0,226875,26.0,,S
0.0,3.0,male,26.0,0.0,0.0,341826,8.05,,S
1.0,3.0,male,30.0,0.0,0.0,345774,9.5,,S
1.0,1.0,female,64.0,0.0,2.0,PC 17756,83.1583,E45,C
1.0,2.0,female,28.0,0.0,0.0,240929,12.65,,S
1.0,2.0,male,30.0,0.0,0.0,C.A. 34644,12.7375,,C
1.0,2.0,female,30.0,1.0,0.0,SC/PARIS 2148,13.8583,,C
1.0,3.0,male,9.0,1.0,1.0,C.A. 37671,15.9,,S
1.0,1.0,female,27.0,1.0,1.0,PC 17558,247.5208,B58 B60,C
0.0,1.0,male,65.0,0.0,1.0,113509,61.9792,B30,C
0.0,3.0,male,21.0,0.0,0.0,A/4. 39886,7.8,,S
0.0,1.0,male,46.0,0.0,0.0,694,26.0,,S
0.0,1.0,male,54.0,0.0,0.0,17463,51.8625,E46,S
0.0,3.0,male,24.0,0.0,0.0,SOTON/O.Q. 3101311,7.05,,S
0.0,2.0,male,23.0,0.0,0.0,29751,13.0,,S
0.0,3.0,male,20.0,0.0,0.0,6563,9.225,,S
1.0,1.0,female,30.0,0.0,0.0,PC 17761,106.425,,C
1.0,2.0,female,14.0,1.0,0.0,237736,30.0708,,C
0.0,3.0,male,25.0,0.0,0.0,STON/O 2. 3101291,7.925,,S
1.0,1.0,female,52.0,1.0,0.0,36947,78.2667,D20,C
1.0,2.0,male,3.0,1.0,1.0,230080,26.0,F2,S
0.0,3.0,male,,0.0,0.0,Fa 265302,7.3125,,S
1.0,1.0,male,36.0,0.0,0.0,PC 17474,26.3875,E25,S
1.0,3.0,female,24.0,0.0,0.0,382653,7.75,,Q
0.0,3.0,male,,0.0,0.0,349218,7.8958,,S
0.0,2.0,male,29.0,1.0,0.0,2003,26.0,,S
0.0,3.0,male,,0.0,0.0,SOTON/O.Q. 3101314,7.25,,S
0.0,3.0,female,24.0,0.0,0.0,349236,8.85,,S
1.0,3.0,male,,0.0,0.0,3470,7.8875,,S
1.0,2.0,female,0.9167,1.0,2.0,C.A. 34651,27.75,,S
0.0,3.0,female,20.0,0.0,0.0,347471,7.8542,,S
1.0,1.0,female,31.0,0.0,2.0,36928,164.8667,C7,S
0.0,3.0,male,60.5,0.0,0.0,3701,,,S
0.0,2.0,male,18.0,0.0,0.0,29108,11.5,,S
0.0,3.0,male,15.0,1.0,1.0,2695,7.2292,,C
1.0,1.0,male,32.0,0.0,0.0,13214,30.5,B50,C
0.0,3.0,female,,0.0,0.0,65305,8.1125,,S
0.0,2.0,male,21.0,0.0,0.0,S.O.C. 14879,73.5,,S
0.0,3.0,male,22.0,0.0,0.0,STON/O 2. 3101275,7.125,,S
1.0,3.0,male,21.0,0.0,0.0,330920,7.8208,,Q
0.0,1.0,male,38.0,0.0,0.0,19972,0.0,,S
1.0,2.0,male,34.0,0.0,0.0,248698,13.0,D56,S
1.0,1.0,female,19.0,0.0,0.0,112053,30.0,B42,S
0.0,3.0,male,4.0,4.0,1.0,382652,29.125,,Q
1.0,2.0,male,3.0,1.0,1.0,29106,18.75,,S
0.0,2.0,male,,0.0,0.0,239853,0.0,,S
1.0,3.0,male,21.0,0.0,0.0,345501,7.775,,S
1.0,3.0,female,,0.0,0.0,330931,7.8792,,Q
0.0,1.0,male,71.0,0.0,0.0,PC 17609,49.5042,,C
1.0,3.0,female,,0.0,0.0,14313,7.75,,Q
1.0,1.0,female,23.0,1.0,0.0,21228,82.2667,B45,S
1.0,1.0,female,40.0,1.0,1.0,16966,134.5,E34,C
0.0,3.0,male,20.0,0.0,0.0,SOTON/O.Q. 3101307,7.05,,S
0.0,1.0,male,27.0,1.0,0.0,13508,136.7792,C89,C
0.0,3.0,male,,1.0,0.0,371110,24.15,,Q
1.0,3.0,female,,0.0,2.0,2661,15.2458,,C
1.0,1.0,female,28.0,3.0,2.0,19950,263.0,C23 C25 C27,S
0.0,3.0,male,14.0,5.0,2.0,CA 2144,46.9,,S
1.0,2.0,male,62.0,0.0,0.0,S.W./PP 752,10.5,,S
0.0,3.0,male,,1.0,0.0,2621,6.4375,,C
1.0,1.0,male,4.0,0.0,2.0,33638,81.8583,A34,S
0.0,3.0,male,48.0,0.0,0.0,350047,7.8542,,S
1.0,2.0,female,23.0,0.0,0.0,SC/AH Basle 541,13.7917,D,C
0.0,3.0,male,21.0,2.0,0.0,A/4 48871,24.15,,S
1.0,2.0,female,24.0,2.0,1.0,243847,27.0,,S
0.0,3.0,male,,0.0,0.0,2676,7.225,,C
0.0,2.0,male,31.0,1.0,1.0,C.A. 31921,26.25,,S
0.0,1.0,female,25.0,1.0,2.0,113781,151.55,C22 C26,S
1.0,3.0,female,18.0,0.0,1.0,392091,9.35,,S
0.0,1.0,male,56.0,0.0,0.0,113792,26.55,,S
0.0,3.0,male,21.0,0.0,0.0,A/5. 13032,7.7333,,Q
1.0,2.0,male,24.0,0.0,0.0,28034,10.5,,S
1.0,2.0,female,24.0,1.0,0.0,SC/PARIS 2167,27.7208,,C
0.0,1.0,male,57.0,1.0,1.0,36928,164.8667,,S
0.0,3.0,male,20.0,0.0,0.0,A/5. 2151,8.05,,S
0.0,3.0,female,,1.0,0.0,2660,14.4542,,C
0.0,3.0,male,,0.0,0.0,SOTON/OQ 3101316,8.05,,S
0.0,3.0,male,,0.0,0.0,367655,7.7292,,Q
1.0,2.0,female,18.0,0.0,2.0,250652,13.0,,S
0.0,3.0,male,22.0,0.0,0.0,350052,7.7958,,S
1.0,3.0,female,33.0,1.0,2.0,C.A. 2315,20.575,,S
0.0,3.0,male,,8.0,2.0,CA. 2343,69.55,,S
1.0,3.0,female,31.0,0.0,0.0,349244,8.6833,,S
1.0,1.0,female,33.0,1.0,0.0,19928,90.0,C78,Q
0.0,3.0,male,13.0,4.0,2.0,347077,31.3875,,S
1.0,1.0,male,35.0,0.0,0.0,PC 17755,512.3292,B101,C
0.0,3.0,female,31.0,0.0,0.0,350407,7.8542,,S
0.0,3.0,male,,0.0,0.0,A/S 2816,8.05,,S
1.0,3.0,female,24.0,0.0,3.0,2666,19.2583,,C
0.0,3.0,male,16.0,2.0,0.0,345764,18.0,,S
0.0,1.0,male,60.0,0.0,0.0,113800,26.55,,S
1.0,1.0,female,76.0,1.0,0.0,19877,78.85,C46,S
0.0,3.0,male,,1.0,0.0,367227,7.75,,Q
0.0,3.0,male,26.0,2.0,0.0,315151,8.6625,,S
1.0,1.0,male,53.0,1.0,1.0,33638,81.8583,A34,S
0.0,1.0,male,42.0,0.0,0.0,110489,26.55,D22,S
1.0,3.0,female,47.0,1.0,0.0,363272,7.0,,S
0.0,2.0,male,29.0,1.0,0.0,SC/PARIS 2167,27.7208,,C
0.0,3.0,female,11.0,4.0,2.0,347082,31.275,,S
0.0,3.0,female,22.0,2.0,0.0,315152,8.6625,,S
1.0,1.0,male,,0.0,0.0,111427,26.55,,S
0.0,3.0,male,,0.0,0.0,345498,7.775,,S
1.0,1.0,female,40.0,0.0,0.0,PC 17582,153.4625,C125,S
1.0,3.0,female,,0.0,0.0,383123,7.75,,Q
0.0,3.0,male,19.0,0.0,0.0,349205,7.8958,,S
0.0,1.0,male,45.0,0.0,0.0,113784,35.5,T,S
1.0,3.0,female,22.0,0.0,0.0,C 7077,7.25,,S
0.0,3.0,female,36.0,0.0,2.0,350405,12.1833,,S
